iter	Logloss
0	0.6928080395
1	0.6924541435
2	0.69220595
3	0.6918765683
4	0.6915894124
5	0.6913456172
6	0.6911506952
7	0.6908681408
8	0.6905679266
9	0.6902965831
10	0.6900496503
11	0.6898221398
12	0.6895532075
13	0.6893088783
14	0.6890614815
15	0.68880068
16	0.6885951909
17	0.6884270647
18	0.6882500242
19	0.6879870327
20	0.6877688188
21	0.6876215116
22	0.6874216807
23	0.6873230492
24	0.6870865036
25	0.6868510795
26	0.6866896737
27	0.6865963034
28	0.6864903336
29	0.686362239
30	0.6861850658
31	0.6860242252
32	0.6858586577
33	0.6856200725
34	0.6854472261
35	0.6852476751
36	0.6850772009
37	0.6849708443
38	0.684756482
39	0.6846050387
40	0.6845044083
41	0.6843375684
42	0.6841147231
43	0.6839402676
44	0.683847653
45	0.6836666003
46	0.6835327508
47	0.6834153724
48	0.6832919142
49	0.6831719207
50	0.6830314502
51	0.6828868016
52	0.6827393303
53	0.6825973865
54	0.6825255205
55	0.6824121496
56	0.6822619044
57	0.6820396144
58	0.6819036094
59	0.6817967962
60	0.6817257994
61	0.6815856656
62	0.6815508759
63	0.6815025638
64	0.6813832661
65	0.6812386111
66	0.6810647272
67	0.6809586109
68	0.6808185025
69	0.6806936458
70	0.6805809644
71	0.6804510551
72	0.6803174499
73	0.6802376915
74	0.6800915656
75	0.6800098678
76	0.6799297978
77	0.6798427704
78	0.6797856119
79	0.679718732
80	0.6795933241
81	0.679473974
82	0.6793716657
83	0.67926139
84	0.6791815665
85	0.6790908099
86	0.6789619498
87	0.6787954063
88	0.678681678
89	0.6785692698
90	0.6784957153
91	0.6784190815
92	0.6783547297
93	0.6782293161
94	0.6781382371
95	0.6780072974
96	0.677937675
97	0.677842166
98	0.6777527506
99	0.6777202624
100	0.6776695596
101	0.6775987558
102	0.6775394371
103	0.6774500687
104	0.677357929
105	0.6773230632
106	0.6772925483
107	0.6772261402
108	0.6771791049
109	0.6770692729
110	0.6770112427
111	0.6769157075
112	0.6768280058
113	0.6767790316
114	0.676708229
115	0.6766066283
116	0.6765707407
117	0.6765075029
118	0.6764252369
119	0.676383555
120	0.6763172506
121	0.6762361543
122	0.6761337934
123	0.6760601857
124	0.6759382142
125	0.675887134
126	0.6758355314
127	0.6757593143
128	0.6756558176
129	0.6756192606
130	0.6755833352
131	0.6755354125
132	0.6754686768
133	0.6754277188
134	0.6753172222
135	0.6752429874
136	0.6751741882
137	0.6750361698
138	0.6749705171
139	0.6749030805
140	0.6748374565
141	0.6748025433
142	0.6747123973
143	0.6746614531
144	0.6746371442
145	0.674608599
146	0.6745537276
147	0.6744494
148	0.6743906468
149	0.674283611
150	0.6742340417
151	0.6741855002
152	0.6741314359
153	0.6740566539
154	0.6740049242
155	0.6739505232
156	0.6739053689
