iter	Passed	Remaining
0	7	3853
1	15	4181
2	22	4087
3	29	4031
4	38	4162
5	46	4208
6	54	4202
7	68	4662
8	76	4623
9	83	4528
10	91	4509
11	98	4436
12	105	4354
13	111	4271
14	118	4231
15	124	4159
16	130	4104
17	137	4080
18	144	4048
19	150	3989
20	156	3945
21	162	3912
22	169	3881
23	175	3862
24	182	3829
25	190	3846
26	197	3823
27	204	3817
28	211	3799
29	217	3776
30	223	3756
31	230	3735
32	236	3712
33	242	3685
34	248	3669
35	254	3637
36	260	3619
37	266	3597
38	272	3578
39	279	3571
40	285	3556
41	292	3541
42	300	3547
43	306	3534
44	314	3536
45	320	3521
46	327	3508
47	333	3494
48	339	3478
49	345	3466
50	351	3447
51	357	3432
52	363	3413
53	369	3401
54	375	3390
55	382	3379
56	388	3366
57	395	3362
58	402	3356
59	409	3350
60	417	3354
61	424	3351
62	431	3343
63	438	3334
64	444	3325
65	451	3314
66	457	3302
67	463	3294
68	470	3289
69	477	3281
70	484	3274
71	490	3265
72	497	3258
73	503	3248
74	510	3238
75	517	3231
76	524	3231
77	531	3223
78	539	3225
79	547	3221
80	553	3214
81	561	3209
82	567	3201
83	574	3192
84	580	3184
85	587	3178
86	595	3173
87	601	3165
88	608	3156
89	614	3147
90	621	3139
91	627	3129
92	634	3126
93	641	3116
94	647	3105
95	654	3099
96	661	3095
97	668	3090
98	683	3122
99	690	3115
100	697	3105
101	703	3097
102	710	3090
103	717	3082
104	722	3070
105	728	3058
106	736	3055
107	742	3047
108	749	3040
109	755	3030
110	762	3023
111	769	3016
112	778	3017
113	789	3024
114	795	3017
115	803	3012
116	828	3072
117	835	3066
118	844	3065
119	852	3060
120	859	3053
121	866	3045
122	877	3054
123	889	3064
124	901	3072
125	913	3081
126	926	3092
127	938	3099
128	955	3124
129	970	3142
130	983	3151
131	995	3159
132	1005	3160
133	1015	3161
134	1027	3166
135	1038	3167
136	1048	3169
137	1059	3171
138	1068	3167
139	1076	3161
140	1083	3150
141	1092	3146
