player_name,tm_id,season,appearances,minutes
Yannick Eduardo,930998,25/26,35,2511
Yannick Eduardo,930998,24/25,34,1357
Yannick Eduardo,930998,23/24,34,2632
Yannick Eduardo,930998,22/23,22,1551
Yannick Eduardo,930998,21/22,15,1162
Ihlas Bebou,237164,25/26,17,219
Ihlas Bebou,237164,24/25,1,8
Ihlas Bebou,237164,23/24,34,1749
Ihlas Bebou,237164,22/23,20,1504
Ihlas Bebou,237164,21/22,29,2198
Ihlas Bebou,237164,20/21,40,2699
Ihlas Bebou,237164,19/20,35,2366
Ron-Thorben Hoffmann,317444,25/26,33,3000
Ron-Thorben Hoffmann,317444,24/25,20,1830
Ron-Thorben Hoffmann,317444,23/24,34,3060
Ron-Thorben Hoffmann,317444,22/23,12,1009
Ron-Thorben Hoffmann,317444,21/22,25,2250
Ron-Thorben Hoffmann,317444,20/21,25,2250
Ron-Thorben Hoffmann,317444,19/20,11,990
Elhan Kastrati,258608,25/26,2,180
Elhan Kastrati,258608,24/25,30,2655
Elhan Kastrati,258608,23/24,36,3240
Elhan Kastrati,258608,22/23,37,3360
Elhan Kastrati,258608,21/22,33,2960
Elhan Kastrati,258608,20/21,25,2250
Elhan Kastrati,258608,19/20,13,1125
Marko Rajkovacic,691071,25/26,18,1620
Marko Rajkovacic,691071,24/25,3,270
Marko Rajkovacic,691071,23/24,30,2688
Marko Rajkovacic,691071,22/23,28,2513
Marko Rajkovacic,691071,21/22,17,1530
Marko Rajkovacic,691071,20/21,6,473
Marko Rajkovacic,691071,19/20,0,0
Leon Herdes,1023096,25/26,25,2250
Leon Herdes,1023096,24/25,23,2062
Leon Herdes,1023096,23/24,25,2280
Leon Herdes,1023096,22/23,0,0
Louis Breunig,760069,25/26,15,925
Louis Breunig,760069,24/25,29,2610
Louis Breunig,760069,23/24,41,3666
Louis Breunig,760069,22/23,21,1627
Louis Breunig,760069,21/22,20,1276
Kevin Ehlers,447783,25/26,32,2795
Kevin Ehlers,447783,24/25,25,1453
Kevin Ehlers,447783,23/24,21,1317
Kevin Ehlers,447783,22/23,21,1072
Kevin Ehlers,447783,21/22,9,731
Kevin Ehlers,447783,20/21,30,2523
Kevin Ehlers,447783,19/20,20,1710
Lukas Frenkert,563966,25/26,19,1458
Lukas Frenkert,563966,24/25,26,2086
Lukas Frenkert,563966,23/24,33,2925
Lukas Frenkert,563966,22/23,10,183
Lukas Frenkert,563966,21/22,21,1491
Lukas Frenkert,563966,20/21,28,1627
Lukas Frenkert,563966,19/20,16,1370
Patrick Nkoa,899764,25/26,18,1401
Patrick Nkoa,899764,24/25,23,1912
Patrick Nkoa,899764,23/24,21,1845
Patrick Nkoa,899764,22/23,35,3150
Patrick Nkoa,899764,21/22,27,2370
Andi Hoti,656095,25/26,19,1183
Andi Hoti,656095,24/25,15,1042
Andi Hoti,656095,23/24,22,933
Andi Hoti,656095,22/23,23,1730
Andi Hoti,656095,21/22,30,2544
Andi Hoti,656095,20/21,16,1160
Andi Hoti,656095,19/20,18,1522
Frederik Jäkel,405679,25/26,1,5
Frederik Jäkel,405679,24/25,1,1
Frederik Jäkel,405679,23/24,18,1364
Frederik Jäkel,405679,22/23,27,1690
Frederik Jäkel,405679,21/22,26,2259
Frederik Jäkel,405679,20/21,17,1267
Frederik Jäkel,405679,19/20,19,1567
Fabio Di Michele Sanchez,676889,25/26,30,1946
Fabio Di Michele Sanchez,676889,24/25,31,1937
Fabio Di Michele Sanchez,676889,23/24,40,1363
Fabio Di Michele Sanchez,676889,22/23,20,1634
Fabio Di Michele Sanchez,676889,21/22,14,1186
Fabio Di Michele Sanchez,676889,20/21,6,436
Fabio Di Michele Sanchez,676889,19/20,21,1515
Mehmet Aydin,472242,25/26,33,2614
Mehmet Aydin,472242,24/25,31,2025
Mehmet Aydin,472242,23/24,23,1469
Mehmet Aydin,472242,22/23,23,995
Mehmet Aydin,472242,21/22,19,871
Mehmet Aydin,472242,20/21,16,1316
Mehmet Aydin,472242,19/20,22,1585
Max Marie,729176,25/26,33,2632
Max Marie,729176,24/25,18,702
Max Marie,729176,23/24,26,1595
Max Marie,729176,22/23,23,1504
Max Marie,729176,21/22,19,1562
Max Marie,729176,20/21,2,51
Robin Heußer,337042,25/26,31,2148
Robin Heußer,337042,24/25,31,890
Robin Heußer,337042,23/24,37,3206
Robin Heußer,337042,22/23,36,2146
Robin Heußer,337042,21/22,41,3463
Robin Heußer,337042,20/21,68,5379
Robin Heußer,337042,19/20,2,151
Sidney Raebiger,717345,25/26,9,295
Sidney Raebiger,717345,24/25,4,146
Sidney Raebiger,717345,23/24,22,1430
Sidney Raebiger,717345,22/23,11,653
Sidney Raebiger,717345,21/22,21,1612
Sidney Raebiger,717345,20/21,3,240
Sidney Raebiger,717345,19/20,5,271
Anas Bakhat,489090,25/26,3,80
Anas Bakhat,489090,24/25,24,1470
Anas Bakhat,489090,23/24,25,1907
Anas Bakhat,489090,22/23,11,444
Anas Bakhat,489090,21/22,4,238
Anas Bakhat,489090,20/21,15,513
Anas Bakhat,489090,19/20,30,2200
Faride Alidou,456492,25/26,23,897
Faride Alidou,456492,24/25,15,300
Faride Alidou,456492,23/24,26,1285
Faride Alidou,456492,22/23,21,269
Faride Alidou,456492,21/22,34,1954
Faride Alidou,456492,20/21,10,606
Faride Alidou,456492,19/20,20,1387
Aaron Opoku,344063,25/26,29,1812
Aaron Opoku,344063,24/25,14,715
Aaron Opoku,344063,23/24,27,997
Aaron Opoku,344063,22/23,24,1130
Aaron Opoku,344063,21/22,35,2643
Aaron Opoku,344063,20/21,25,915
Aaron Opoku,344063,19/20,33,2130
Sidi Sané,410561,25/26,26,973
Sidi Sané,410561,24/25,1,30
Sidi Sané,410561,23/24,10,322
Sidi Sané,410561,22/23,27,1667
Sidi Sané,410561,21/22,24,1939
Sidi Sané,410561,20/21,1,14
Sidi Sané,410561,19/20,12,467
Fabio Kaufmann,160980,25/26,17,394
Fabio Kaufmann,160980,24/25,33,2042
Fabio Kaufmann,160980,23/24,33,2310
Fabio Kaufmann,160980,22/23,36,2125
Fabio Kaufmann,160980,21/22,26,755
Fabio Kaufmann,160980,20/21,34,2289
Fabio Kaufmann,160980,19/20,40,3526
Grant-Leon Ranos,574201,25/26,25,801
Grant-Leon Ranos,574201,24/25,12,502
Grant-Leon Ranos,574201,23/24,18,686
Grant-Leon Ranos,574201,22/23,38,2968
Grant-Leon Ranos,574201,21/22,33,2099
Grant-Leon Ranos,574201,20/21,4,283
Grant-Leon Ranos,574201,19/20,15,622
Ken Izekor,929912,25/26,23,1613
Ken Izekor,929912,24/25,9,322
Ken Izekor,929912,23/24,27,2033
Ken Izekor,929912,22/23,29,1855
Ken Izekor,929912,21/22,12,269
Chrislain Matsima,569383,25/26,21,1705
Chrislain Matsima,569383,24/25,34,2941
Chrislain Matsima,569383,23/24,21,1566
Chrislain Matsima,569383,22/23,18,919
Chrislain Matsima,569383,21/22,13,401
Chrislain Matsima,569383,20/21,11,529
Chrislain Matsima,569383,19/20,19,1680
Noahkai Banks,923945,25/26,23,1727
Noahkai Banks,923945,24/25,20,1233
Noahkai Banks,923945,23/24,22,1926
Noahkai Banks,923945,22/23,18,1535
Noahkai Banks,923945,21/22,7,555
Cédric Zesiger,382478,25/26,29,1909
Cédric Zesiger,382478,24/25,23,1838
Cédric Zesiger,382478,23/24,26,1935
Cédric Zesiger,382478,22/23,41,3566
Cédric Zesiger,382478,21/22,29,2289
Cédric Zesiger,382478,20/21,35,2696
Cédric Zesiger,382478,19/20,35,2700
Arthur Chaves,875332,25/26,16,1070
Arthur Chaves,875332,24/25,38,3060
Arthur Chaves,875332,23/24,21,1837
Arthur Chaves,875332,22/23,35,3100
Arthur Chaves,875332,2022,27,2364
Arthur Chaves,875332,2021,2,38
Arthur Chaves,875332,2020,6,534
Jeffrey Gouweleeuw,106405,25/26,12,941
Jeffrey Gouweleeuw,106405,24/25,37,3335
Jeffrey Gouweleeuw,106405,23/24,30,2594
Jeffrey Gouweleeuw,106405,22/23,34,2977
