player_tm_id,player_name,profile_url,dob,age,height_cm,nationality,second_nationality,detailed_position,strong_foot,current_club,scrape_status
262749,David Raya,https://www.transfermarkt.com/david-raya/profil/spieler/262749,15/09/1995 (30),FUTBOL21 AGENCY,183,Spain,,Goalkeeper,right,Arsenal FC,ok
192279,Kepa Arrizabalaga,https://www.transfermarkt.com/kepa-arrizabalaga/profil/spieler/192279,03/10/1994 (31),AC Talent,188,Spain,,Goalkeeper,right,Arsenal FC,ok
848753,Tommy Setford,https://www.transfermarkt.com/tommy-setford/profil/spieler/848753,13/03/2006 (20),PUM,185,"England
  Netherlands",,Goalkeeper,right,Arsenal FC U21,ok
495666,William Saliba,https://www.transfermarkt.com/william-saliba/profil/spieler/495666,24/03/2001 (25),ND SPORTS MANAGEMENT,192,"France
  Cameroon",,Defender - Centre-Back,right,Arsenal FC,ok
435338,Gabriel,https://www.transfermarkt.com/gabriel/profil/spieler/435338,19/12/1997 (28),Bertolucci Sports,190,Brazil,,Defender - Centre-Back,left,Arsenal FC,ok
659813,Piero Hincapié,https://www.transfermarkt.com/piero-hincapie/profil/spieler/659813,09/01/2002 (24),AS1,184,Ecuador,,Defender - Centre-Back,left,Arsenal FC,ok
646750,Cristhian Mosquera,https://www.transfermarkt.com/cristhian-mosquera/profil/spieler/646750,27/06/2004 (21),INVSPORT (Sergio ...,191,"Spain
  Colombia",,Defender - Centre-Back,right,Arsenal FC,ok
502821,Riccardo Calafiori,https://www.transfermarkt.com/riccardo-calafiori/profil/spieler/502821,19/05/2002 (24),World Soccer Agency,188,Italy,,Defender - Left-Back,left,Arsenal FC,ok
890721,Myles Lewis-Skelly,https://www.transfermarkt.com/myles-lewis-skelly/profil/spieler/890721,26/09/2006 (19),Relatives,178,"England
  Barbados",,Defender - Left-Back,left,Arsenal FC,ok
420243,Jurriën Timber,https://www.transfermarkt.com/jurrien-timber/profil/spieler/420243,17/06/2001 (24),Forza Sports Group,179,"Netherlands
  Curacao",,Defender - Right-Back,right,Arsenal FC,ok
335721,Ben White,https://www.transfermarkt.com/ben-white/profil/spieler/335721,08/10/1997 (28),,186,England,,Defender - Right-Back,right,Arsenal FC,ok
423440,Martín Zubimendi,https://www.transfermarkt.com/martin-zubimendi/profil/spieler/423440,02/02/1999 (27),IDUB GLOBAL,181,Spain,,Midfield - Defensive Midfield,right,Arsenal FC,ok
148367,Christian Nørgaard,https://www.transfermarkt.com/christian-norgaard/profil/spieler/148367,10/03/1994 (32),PEP Consulting,187,Denmark,,Midfield - Defensive Midfield,right,Arsenal FC,ok
357662,Declan Rice,https://www.transfermarkt.com/declan-rice/profil/spieler/357662,14/01/1999 (27),Relatives,188,"England
  Ireland",,Midfield - Central Midfield,right,Arsenal FC,ok
338424,Mikel Merino,https://www.transfermarkt.com/mikel-merino/profil/spieler/338424,22/06/1996 (29),Bahía Internacional,189,Spain,,Midfield - Central Midfield,left,Arsenal FC,ok
316264,Martin Ødegaard,https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264,17/12/1998 (27),Nordic Sky,178,Norway,,Midfield - Attacking Midfield,left,Arsenal FC,ok
479999,Eberechi Eze,https://www.transfermarkt.com/eberechi-eze/profil/spieler/479999,29/06/1998 (27),CAA Base Ltd,178,"England
  Nigeria",,Midfield - Attacking Midfield,right,Arsenal FC,ok
655488,Gabriel Martinelli,https://www.transfermarkt.com/gabriel-martinelli/profil/spieler/655488,18/06/2001 (24),Roc Nation Sports,178,"Brazil
  Italy",,Attack - Left Winger,right,Arsenal FC,ok
144028,Leandro Trossard,https://www.transfermarkt.com/leandro-trossard/profil/spieler/144028,04/12/1994 (31),FOKUS,172,Belgium,,Attack - Left Winger,right,Arsenal FC,ok
433177,Bukayo Saka,https://www.transfermarkt.com/bukayo-saka/profil/spieler/433177,05/09/2001 (24),Elite Project Group ...,178,"England
  Nigeria",,Attack - Right Winger,left,Arsenal FC,ok
